"Time","hobonichi"
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",16
"2022-09-01",42
"2022-10-01",20
"2022-11-01",41
"2022-12-01",29
"2023-01-01",21
"2023-02-01",37
"2023-03-01",0
"2023-04-01",0
"2023-05-01",0
"2023-06-01",0
"2023-07-01",0
"2023-08-01",18
"2023-09-01",100
"2023-10-01",45
"2023-11-01",0
"2023-12-01",24
"2024-01-01",36
"2024-02-01",34
"2024-03-01",0
"2024-04-01",0
"2024-05-01",0
"2024-06-01",0
"2024-07-01",0
"2024-08-01",16
"2024-09-01",69
"2024-10-01",45
"2024-11-01",26
"2024-12-01",44
"2025-01-01",17
"2025-02-01",0
"2025-03-01",0
"2025-04-01",0
"2025-05-01",0
"2025-06-01",0
"2025-07-01",0
"2025-08-01",0
"2025-09-01",59
"2025-10-01",37
"2025-11-01",31
"2025-12-01",37
"2026-01-01",27
"2026-02-01",24
"2026-03-01",0
"2026-04-01",0
"2026-05-01",0
"2026-06-01",0
"2026-07-01",0
"2026-08-01",15
