"Time","ほぼ日"
"2021-08-01",86
"2021-09-01",89
"2021-10-01",55
"2021-11-01",51
"2021-12-01",47
"2022-01-01",55
"2022-02-01",44
"2022-03-01",34
"2022-04-01",33
"2022-05-01",29
"2022-06-01",31
"2022-07-01",31
"2022-08-01",76
"2022-09-01",80
"2022-10-01",59
"2022-11-01",47
"2022-12-01",57
"2023-01-01",45
"2023-02-01",39
"2023-03-01",32
"2023-04-01",30
"2023-05-01",29
"2023-06-01",30
"2023-07-01",28
"2023-08-01",71
"2023-09-01",81
"2023-10-01",61
"2023-11-01",44
"2023-12-01",47
"2024-01-01",44
"2024-02-01",38
"2024-03-01",35
"2024-04-01",30
"2024-05-01",26
"2024-06-01",28
"2024-07-01",30
"2024-08-01",71
"2024-09-01",89
"2024-10-01",48
"2024-11-01",47
"2024-12-01",50
"2025-01-01",50
"2025-02-01",37
"2025-03-01",31
"2025-04-01",31
"2025-05-01",35
"2025-06-01",25
"2025-07-01",30
"2025-08-01",90
"2025-09-01",100
"2025-10-01",72
"2025-11-01",54
"2025-12-01",56
"2026-01-01",53
"2026-02-01",43
"2026-03-01",33
"2026-04-01",29
"2026-05-01",30
"2026-06-01",33
"2026-07-01",31
"2026-08-01",70
