"Time","ほぼ日"
"2021-08-01",13
"2021-09-01",33
"2021-10-01",19
"2021-11-01",13
"2021-12-01",13
"2022-01-01",14
"2022-02-01",12
"2022-03-01",10
"2022-04-01",10
"2022-05-01",9
"2022-06-01",11
"2022-07-01",10
"2022-08-01",16
"2022-09-01",42
"2022-10-01",22
"2022-11-01",20
"2022-12-01",21
"2023-01-01",18
"2023-02-01",15
"2023-03-01",12
"2023-04-01",11
"2023-05-01",9
"2023-06-01",11
"2023-07-01",11
"2023-08-01",23
"2023-09-01",68
"2023-10-01",34
"2023-11-01",27
"2023-12-01",26
"2024-01-01",24
"2024-02-01",21
"2024-03-01",19
"2024-04-01",14
"2024-05-01",13
"2024-06-01",13
"2024-07-01",12
"2024-08-01",41
"2024-09-01",86
"2024-10-01",41
"2024-11-01",36
"2024-12-01",34
"2025-01-01",28
"2025-02-01",23
"2025-03-01",20
"2025-04-01",18
"2025-05-01",26
"2025-06-01",18
"2025-07-01",16
"2025-08-01",57
"2025-09-01",100
"2025-10-01",64
"2025-11-01",47
"2025-12-01",50
"2026-01-01",42
"2026-02-01",36
"2026-03-01",24
"2026-04-01",23
"2026-05-01",20
"2026-06-01",23
"2026-07-01",22
"2026-08-01",49
