"Time","hobonichi"
"2021-08-01",22
"2021-09-01",25
"2021-10-01",22
"2021-11-01",13
"2021-12-01",14
"2022-01-01",24
"2022-02-01",13
"2022-03-01",13
"2022-04-01",11
"2022-05-01",10
"2022-06-01",12
"2022-07-01",9
"2022-08-01",33
"2022-09-01",34
"2022-10-01",23
"2022-11-01",23
"2022-12-01",31
"2023-01-01",26
"2023-02-01",16
"2023-03-01",14
"2023-04-01",14
"2023-05-01",15
"2023-06-01",13
"2023-07-01",23
"2023-08-01",19
"2023-09-01",40
"2023-10-01",36
"2023-11-01",26
"2023-12-01",39
"2024-01-01",29
"2024-02-01",30
"2024-03-01",17
"2024-04-01",26
"2024-05-01",18
"2024-06-01",17
"2024-07-01",15
"2024-08-01",35
"2024-09-01",48
"2024-10-01",41
"2024-11-01",61
"2024-12-01",54
"2025-01-01",43
"2025-02-01",29
"2025-03-01",14
"2025-04-01",22
"2025-05-01",23
"2025-06-01",25
"2025-07-01",23
"2025-08-01",50
"2025-09-01",70
"2025-10-01",72
"2025-11-01",83
"2025-12-01",100
"2026-01-01",93
"2026-02-01",42
"2026-03-01",42
"2026-04-01",49
"2026-05-01",54
"2026-06-01",48
"2026-07-01",32
"2026-08-01",40
