"Time","hobonichi"
"2021-08-01",10
"2021-09-01",19
"2021-10-01",11
"2021-11-01",11
"2021-12-01",13
"2022-01-01",17
"2022-02-01",10
"2022-03-01",8
"2022-04-01",8
"2022-05-01",7
"2022-06-01",7
"2022-07-01",8
"2022-08-01",22
"2022-09-01",29
"2022-10-01",17
"2022-11-01",17
"2022-12-01",23
"2023-01-01",21
"2023-02-01",12
"2023-03-01",8
"2023-04-01",8
"2023-05-01",7
"2023-06-01",8
"2023-07-01",10
"2023-08-01",25
"2023-09-01",29
"2023-10-01",20
"2023-11-01",23
"2023-12-01",32
"2024-01-01",32
"2024-02-01",14
"2024-03-01",10
"2024-04-01",10
"2024-05-01",9
"2024-06-01",11
"2024-07-01",14
"2024-08-01",38
"2024-09-01",52
"2024-10-01",31
"2024-11-01",42
"2024-12-01",45
"2025-01-01",40
"2025-02-01",17
"2025-03-01",14
"2025-04-01",15
"2025-05-01",13
"2025-06-01",16
"2025-07-01",24
"2025-08-01",65
"2025-09-01",89
"2025-10-01",45
"2025-11-01",54
"2025-12-01",100
"2026-01-01",83
"2026-02-01",33
"2026-03-01",29
"2026-04-01",38
"2026-05-01",28
"2026-06-01",22
"2026-07-01",30
"2026-08-01",77
