"Time","hobonichi"
"2021-08-01",14
"2021-09-01",41
"2021-10-01",29
"2021-11-01",27
"2021-12-01",25
"2022-01-01",23
"2022-02-01",13
"2022-03-01",8
"2022-04-01",15
"2022-05-01",16
"2022-06-01",21
"2022-07-01",23
"2022-08-01",37
"2022-09-01",90
"2022-10-01",65
"2022-11-01",69
"2022-12-01",77
"2023-01-01",60
"2023-02-01",40
"2023-03-01",31
"2023-04-01",28
"2023-05-01",25
"2023-06-01",26
"2023-07-01",21
"2023-08-01",37
"2023-09-01",85
"2023-10-01",69
"2023-11-01",72
"2023-12-01",82
"2024-01-01",60
"2024-02-01",35
"2024-03-01",27
"2024-04-01",27
"2024-05-01",24
"2024-06-01",22
"2024-07-01",24
"2024-08-01",48
"2024-09-01",95
"2024-10-01",43
"2024-11-01",50
"2024-12-01",60
"2025-01-01",55
"2025-02-01",29
"2025-03-01",29
"2025-04-01",26
"2025-05-01",27
"2025-06-01",22
"2025-07-01",25
"2025-08-01",56
"2025-09-01",100
"2025-10-01",66
"2025-11-01",68
"2025-12-01",96
"2026-01-01",72
"2026-02-01",40
"2026-03-01",29
"2026-04-01",25
"2026-05-01",25
"2026-06-01",25
"2026-07-01",28
"2026-08-01",50
