"Time","hobonichi"
"2021-08-01",14
"2021-09-01",20
"2021-10-01",14
"2021-11-01",12
"2021-12-01",14
"2022-01-01",17
"2022-02-01",10
"2022-03-01",7
"2022-04-01",7
"2022-05-01",6
"2022-06-01",6
"2022-07-01",8
"2022-08-01",20
"2022-09-01",28
"2022-10-01",18
"2022-11-01",17
"2022-12-01",20
"2023-01-01",18
"2023-02-01",11
"2023-03-01",8
"2023-04-01",8
"2023-05-01",6
"2023-06-01",7
"2023-07-01",9
"2023-08-01",23
"2023-09-01",27
"2023-10-01",22
"2023-11-01",26
"2023-12-01",32
"2024-01-01",27
"2024-02-01",15
"2024-03-01",10
"2024-04-01",10
"2024-05-01",10
"2024-06-01",11
"2024-07-01",14
"2024-08-01",38
"2024-09-01",56
"2024-10-01",35
"2024-11-01",45
"2024-12-01",54
"2025-01-01",43
"2025-02-01",20
"2025-03-01",15
"2025-04-01",16
"2025-05-01",14
"2025-06-01",16
"2025-07-01",21
"2025-08-01",71
"2025-09-01",97
"2025-10-01",55
"2025-11-01",62
"2025-12-01",100
"2026-01-01",87
"2026-02-01",34
"2026-03-01",32
"2026-04-01",45
"2026-05-01",35
"2026-06-01",24
"2026-07-01",30
"2026-08-01",76
