"Time","hobonichi"
"2021-08-01",23
"2021-09-01",66
"2021-10-01",47
"2021-11-01",43
"2021-12-01",42
"2022-01-01",35
"2022-02-01",23
"2022-03-01",19
"2022-04-01",18
"2022-05-01",16
"2022-06-01",17
"2022-07-01",19
"2022-08-01",31
"2022-09-01",84
"2022-10-01",55
"2022-11-01",57
"2022-12-01",62
"2023-01-01",45
"2023-02-01",33
"2023-03-01",26
"2023-04-01",24
"2023-05-01",20
"2023-06-01",19
"2023-07-01",18
"2023-08-01",39
"2023-09-01",82
"2023-10-01",71
"2023-11-01",69
"2023-12-01",71
"2024-01-01",53
"2024-02-01",33
"2024-03-01",22
"2024-04-01",23
"2024-05-01",20
"2024-06-01",21
"2024-07-01",22
"2024-08-01",44
"2024-09-01",100
"2024-10-01",57
"2024-11-01",60
"2024-12-01",63
"2025-01-01",53
"2025-02-01",29
"2025-03-01",28
"2025-04-01",23
"2025-05-01",25
"2025-06-01",24
"2025-07-01",24
"2025-08-01",57
"2025-09-01",92
"2025-10-01",67
"2025-11-01",69
"2025-12-01",90
"2026-01-01",67
"2026-02-01",37
"2026-03-01",28
"2026-04-01",24
"2026-05-01",26
"2026-06-01",29
"2026-07-01",34
"2026-08-01",55
